heat_num,grado,num_cga_met,TCM,Time_Vac_Vac,Power_ON,Tpo_Aux,Total_min_Demoras,tco_kwh,Potencia,O2,Grafito,Cal_Total,Cal_Total_Sid,Cal_Total_Dol,muestra_temp,muestra_ppmo2,c1_tco_tpo_con,c1_tco_kwh,c1_tco_mw_prom,c2_tco_tpo_con,c2_tco_kwh,c2_tco_mw_prom,c7_tco_tpo_con,c7_tco_kwh,c7_tco_mw_prom,cga_met_1,cga_met_2,cga_met_3,CH01,CH02,CH03,CH04,CH05,CH06,CH07,CH08,CH09,CH10,CH11,CH15,CH31,CH33,CH34,CH50,CH60,CH63,CH64,CH67,CH70,CH71,CH01_C1,CH02_C1,CH03_C1,CH04_C1,CH05_C1,CH06_C1,CH07_C1,CH08_C1,CH09_C1,CH10_C1,CH11_C1,CH15_C1,CH31_C1,CH33_C1,CH34_C1,CH50_C1,CH60_C1,CH63_C1,CH64_C1,CH67_C1,CH70_C1,CH71_C1,CH01_C2,CH02_C2,CH03_C2,CH04_C2,CH05_C2,CH06_C2,CH07_C2,CH08_C2,CH09_C2,CH10_C2,CH11_C2,CH15_C2,CH31_C2,CH33_C2,CH34_C2,CH50_C2,CH60_C2,CH63_C2,CH64_C2,CH67_C2,CH70_C2,CH71_C2,CaO,MgO,sio2,al2o3,mno,s,fe2o3,ib2,ib4,feo,IB3
477138,251036 DEA,2,185.31,84.22332764,53.66666412,4.76666594,24.79,66045,86.58000183,2708.75,1418.75,6186,3040,3146,1619,475,26.68333054,-30976,-70,10.30000019,12480,73,12.56667042,17856,85,90.763,94.547,NULL,0,9.902,0,80.278,0,0,0,63.708,0,31.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.157,0,0,0,13.054,0,21.552,0,0,0,0,0,0,0,0,0,0,0,0,0,9.902,0,39.121,0,0,0,15.654,0,9.87,0,0,0,0,0,0,0,0,0,0,0,0,41.5478,8.4842,18.9744,10.4902,7.0918,0.1534,27.8008,2.583846,2.00364,25.045736,1.410092111
477139,251036 DEA,2,185.399,48.23333359,40.93333435,6.30000019,NULL,54915,95.37999725,5596.25,4151.25,6172,3040,3133,1644,577,32.20000076,-18496,-34,NULL,NULL,NULL,4.71666718,6720,85,66.187,119.212,NULL,12.948,15.912,0,46.771,0,13.004,0,82.185,0,8.906,0,0,0,0,0,5.673,0,0,0,0,0,0,7.056,0,0,16.016,0,13.004,0,6.205,0,8.906,0,0,0,0,0,0,0,0,0,0,0,0,5.892,15.912,0,30.755,0,0,0,40.98,0,0,0,0,0,0,0,5.673,0,0,0,0,0,0,40.1436,9.2276,19.2812,11.5994,6.8676,0.1416,29.9956,2.45676,1.886584,27.023062,1.299961788
477140,251036 DEA,2,185.837,47.51666641,40.23333359,6.28333282,NULL,54335,96.11000061,5053.75,2537.5,6186,3040,3146,1643,466,16.88332939,24512,87,15.03332996,22528,90,4.30000114,6144,86,65.959,119.878,NULL,13.998,14.221,0,52.354,0,11.676,0,81.233,0,7.257,0,0,0,0,0,5.098,0,0,0,0,0,0,8.155,0,0,17.801,0,11.676,0,6.07,0,7.257,0,0,0,0,0,0,0,0,0,0,0,0,5.843,14.221,0,34.553,0,0,0,40.163,0,0,0,0,0,0,0,5.098,0,0,0,0,0,0,40.769,8.3544,18.88,11.1746,6.5372,0.1534,32.3556,2.548092,1.92871,29.149186,1.356497841
477150,251036 DEA,2,181.701,50.56999969,37.32,6.2,6.05,50685,97.20999908,4985,2736.25,6079,3027,3053,1616,725,22,32320,88,NULL,NULL,NULL,11.31667042,17216,91,70.549,111.152,NULL,8.484,15.562,0,41.111,0,12.404,0,81.183,0,9.148,0,0,5.169,0,0,4.777,3.863,0,0,0,0,0,8.484,0,0,15.637,0,12.404,0,6.013,0,9.148,0,0,0,0,0,0,3.863,0,0,0,0,0,0,15.562,0,25.474,0,0,0,40.17,0,0,0,0,5.169,0,0,4.777,0,0,0,0,0,0,40.8162,7.5166,18.8446,12.2366,6.667,0.1298,27.1636,2.555762,1.8349,24.471666,1.313211845
477151,251036 DEA,2,180.665,46.15999985,38.03,6.2,0.93,51395,96.52999878,5068.75,2357.5,6159,3040,3119,1590,567,17.26667023,24448,85,14.58333015,22592,93,2.19999909,3200,87,70.706,109.959,NULL,8.193,15.769,0,40.887,0,12.316,0,80.964,0,8.563,0,0,4.945,0,0,5.492,3.536,0,0,0,0,0,8.193,0,0,17.723,0,12.316,0,5.375,0,8.563,0,0,0,0,0,0,3.536,0,0,0,0,0,0,15.769,0,23.164,0,0,0,40.589,0,0,0,0,4.945,0,0,5.492,0,0,0,0,0,0,41.5596,8.4488,18.9626,11.918,6.5962,0.1534,26.2314,2.586206,1.910892,23.63186,1.34581582
477152,251036 DEA,2,181.375,52.94999695,38.89999771,6.1500001,6.89999788,52795,96.79000092,4838.75,2930,6159,3040,3119,1653,1046,13.93332958,19200,83,17.86665916,27840,93,3.10000205,4608,89,71.342,110.033,NULL,8.23,14.673,0,41.953,0,11.925,0,81.391,0,8.59,0,0,5.128,0,0,5.256,4.229,0,0,0,0,0,8.23,0,0,17.654,0,11.925,0,5.714,0,8.59,0,0,0,0,0,0,4.229,0,0,0,0,0,0,14.673,0,24.299,0,0,0,40.677,0,0,0,0,5.128,0,0,5.256,0,0,0,0,0,0,41.3236,7.3396,18.6204,11.6466,6.4074,0.1534,29.1696,2.618774,1.897204,26.278954,1.365302144
477192,251036 PRDEA,2,180.97,48.40000153,38.2,7.37,1.83,53185,99.27999878,5328.75,3005,6199,3147,3053,1579,556,12.78332996,18688,88,17.93333054,28352,95,3.48333406,4992,86,71.119,109.851,NULL,8.454,24.289,0,29.891,0,12.255,0,85.072,0,6.899,0,0,0,0,7.749,4.327,2.034,0,0,0,0,0,8.454,3.947,0,6.436,0,12.255,0,8.345,0,6.899,0,0,0,0,7.749,0,2.034,0,0,0,0,0,0,20.342,0,23.455,0,0,0,41.727,0,0,0,0,0,0,0,4.327,0,0,0,0,0,0,61.82846,6.62806,31.1638,2.9146,0.22774,3.47333,0.531,2.34112,2.370384,0.478372,1.814300554
477193,251036 PRDEA,2,180.909,43.04999924,37.40000153,3.93333292,0.71666598,51005,97.61000061,5215,2722.5,6239,3173,3066,1677,628,14.13333035,20672,88,17.25,26368,92,2.00000191,2816,84,71.538,109.371,NULL,7.856,24.619,0,29.421,0,12.366,0,85.424,0,6.566,0,0,0,0,8.5,4.46,1.697,0,0,0,0,0,7.856,4.123,0,7.088,0,12.366,0,8.342,0,6.566,0,0,0,0,8.5,0,1.697,0,0,0,0,0,0,20.496,0,22.333,0,0,0,42.082,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,65.93132,4.3719,23.97642,2.79424,0.10266,4.437744,0.31742,3.244764,3.098798,0.285914,2.462820117
477194,251036 PRDEA,3,181.067,63.84999847,38.36666489,5.58333302,18.89999926,51455,95.81999969,4980,2577.5,6226,3160,3066,1683,1543,13.46667004,19520,87,18.70000076,27520,88,2.19999695,3264,89,71.034,59.01,51.023,16.119,13.36,0,23.516,0,23.515,0,66.147,0,13.492,0,0,0,0,15.666,4.23,5.022,0,0,0,0,0,8.309,4.382,0,5.902,0,11.698,0,8.076,0,6.578,0,0,0,0,8.577,0,2.512,0,0,0,0,0,0,8.978,0,10.773,0,0,0,15.029,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,42.2794,6.5136,18.9508,12.8502,5.959,0.2714,28.7094,2.63258,1.810474,25.864302,1.329499072
477195,251036 PRDEA,2,181.9,69.59666443,41.64999771,7,19.94666541,54715,93.33000183,4752.5,2658.75,6212,3160,3053,1596,152,16.04999924,22848,85,16.68333054,24192,87,4.93333387,6528,79,90.146,91.754,NULL,8.015,24.138,0,30.598,0,12.825,0,85.068,0,6.099,0,0,0,0,8.925,4.213,2.019,0,0,0,0,0,8.015,4.021,0,15.192,0,12.825,0,18.05,0,6.099,0,0,0,0,8.925,0,2.019,0,0,0,0,0,0,20.117,0,15.406,0,0,0,32.018,0,0,0,0,0,0,0,4.213,0,0,0,0,0,0,42.8576,8.4488,19.4582,13.3812,6.6434,0.1416,26.8214,2.59895,1.843514,24.16345,1.305066475
477196,251036 PRDEA,2,181.424,49.19666672,40.01666641,4,4.18,53755,95.59999847,5452.5,2078.75,6226,3147,3079,1652,789,14.98332977,20416,82,17.06666946,26624,94,3.98333406,5568,84,71.189,110.235,NULL,7.511,23.99,0,32.949,0,11.895,0,83.876,0,7.8,0,0,0,0,8.391,5.012,0,0,0,0,0,0,7.511,4.012,0,8.239,0,11.895,0,8.341,0,7.8,0,0,0,0,8.391,0,0,0,0,0,0,0,0,19.978,0,24.71,0,0,0,40.535,0,0,0,0,0,0,0,5.012,0,0,0,0,0,0,43.0228,6.9856,18.8564,11.5994,7.0682,0.2124,29.3112,2.692288,1.93756,26.406512,1.412630763
477209,251036 DEA,2,183.695,51.53333282,37.76666641,10.28333282,2.48333204,51395,97.40000153,4598.75,1505,6186,3147,3039,1620,624,18.21666908,26304,87,13.18332958,20736,94,2.31666803,3200,83,72.25,111.445,NULL,8.419,22.473,0,34.434,0,15.277,0,75.452,0,13.524,0,0,0,0,8.455,3.324,2.337,0,0,0,0,0,8.419,5,0,4.238,0,15.277,0,0,0,13.524,0,0,0,0,8.455,0,2.337,0,0,0,0,0,0,17.473,0,30.196,0,0,0,40.452,0,0,0,0,0,0,0,3.324,0,0,0,0,0,0,35.1994,8.4134,16.0126,10.1598,7.6936,0.1298,36.7216,2.593876,1.966352,33.08248,1.34490532
477210,251036 DEA,2,184.399,55.2666626,40.3833313,5.69999981,8.18333191,55235,97.26999664,5646.25,1845,6146,3120,3026,1541,567,14.26667023,20288,85,17.01667023,26752,94,5.06666613,7040,83,72.654,111.745,NULL,7.734,20.563,0,51.946,0,10.453,0,70.575,0,7.988,0,0,0,0,8.455,2.12,4.565,0,0,0,0,0,7.734,0,0,18.459,0,10.453,0,0,0,7.988,0,0,0,0,8.455,0,4.565,0,0,0,0,0,0,20.563,0,33.487,0,0,0,35.575,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,37.9842,8.3426,15.3046,10.5256,7.5756,0.1534,35.0814,2.928642,2.11633,31.604884,1.470534491
477211,251036 DEA,2,183.923,45.54999924,37.98333359,5.63333321,0.93333298,52285,98.37000275,4912.5,1288.75,6106,3080,3026,1620,569,14.58333015,21376,88,16.45000076,25664,94,2.91666794,4096,84,72.178,111.745,NULL,7.575,20.563,0,49.792,0,13.263,0,70.575,0,7.852,0,0,0,0,8.929,2.12,3.254,0,0,0,0,0,7.575,0,0,16.305,0,13.263,0,0,0,7.852,0,0,0,0,8.929,0,3.254,0,0,0,0,0,0,20.563,0,33.487,0,0,0,35.575,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,36.0726,8.2718,15.3164,9.5934,7.4576,0.177,37.2054,2.779136,2.100636,33.518372,1.448128849
477223,251036 DEA,2,182.992,49.08333206,38.63333511,5.93333292,3.51666591,52605,97.23000336,5403.75,3278.75,6119,3040,3079,1613,560,12.94999981,18304,85,18.48332977,28736,93,3.16666389,4416,84,68.71,114.282,NULL,7.265,18.901,0,43.847,0,14.535,0,78.05,0,8.97,0,0,0,0,4.851,4.08,2.493,0,0,0,0,0,7.265,0,0,15.596,0,14.535,0,0,0,8.97,0,0,0,0,4.851,0,2.493,0,0,0,0,0,0,18.901,0,28.251,0,0,0,43.05,0,0,0,0,0,0,0,4.08,0,0,0,0,0,0,63.53474,4.14534,23.59764,2.13462,0.08968,5.025738,0.49678,3.177032,3.103636,0.447574,2.469069565
477224,251036 DEA,2,183.991,45.69999695,37.5,5.94999981,1.24999902,51835,98.77999878,5280,3037.5,6106,3027,3079,1628,596,14.21667004,20416,86,16.78333092,26624,95,2.5,3648,88,75.666,108.325,NULL,7.981,17.228,35.139,0,0,11.899,0,82.945,0,7.899,0,0,0,0,4.011,4.921,1.737,0,10.231,0,0,0,7.981,0,21.15,0,0,11.899,0,5.989,0,7.899,0,0,0,0,4.011,0,1.737,0,0,0,0,0,0,17.228,13.989,0,0,0,0,41.956,0,0,0,0,0,0,0,4.921,0,0,10.231,0,0,0,41.064,7.552,19.175,11.1746,7.021,0.2124,31.9072,2.52697,1.890242,28.745272,1.353032659
477225,251036 DEA,2,183.4140015,59.61666489,39.01666641,6.25,13.34999788,53245,97.30999756,5725,3161.25,6066,3040,3026,1625,308,14.39999962,20800,87,17,26240,93,3.5999999,5056,84,69.599,113.815,NULL,8.137,15.125,40.908,0,0,11.891,0,77.901,0,7.999,0,0,0,0,3.989,5.011,2.031,0,10.422,0,0,0,8.137,0,14.315,0,0,11.891,0,6.237,0,7.999,0,0,0,0,3.989,0,2.031,0,0,0,0,0,0,15.125,26.593,0,0,0,0,36.664,0,0,0,0,0,0,0,5.011,0,0,10.422,0,0,0,43.0346,8.7556,18.526,10.8206,7.4222,0.1888,29.9248,2.741022,2.082464,26.959224,1.466425412
